created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,cleaned_text,tokens,normalisasi,Stopwords,Stemmer,label,sentiment,score,label_manual
Sun Aug 27 23:56:20 +0000 2023,1.70E+18,"Pen kenalan sama programmer cocoki, pen curhat waktuku habis tapi belum juga menang. Rada asu ini game,gw anaknya penasaran lagiiðŸ˜­",0,0,0,0,in,1.25E+18,1.70E+18,ataritafaran,https://twitter.com/ataritafaran/status/1695948392214749278,pen kenalan sama programmer cocoki pen curhat waktuku habis tapi belum juga menang rada asu ini gamegw anaknya penasaran lagii,"['pen', 'kenalan', 'sama', 'programmer', 'cocoki', 'pen', 'curhat', 'waktuku', 'habis', 'tapi', 'belum', 'juga', 'menang', 'rada', 'asu', 'ini', 'gamegw', 'anaknya', 'penasaran', 'lagii']","['pingin', 'kenalan', 'sama', 'programmer', 'cocoki', 'pingin', 'curhat', 'waktuku', 'habis', 'tetapi', 'belum', 'juga', 'menang', 'rada', 'asu', 'ini', 'gamegw', 'anaknya', 'penasaran', 'lagii']","['pingin', 'kenalan', 'programmer', 'cocoki', 'pingin', 'curhat', 'waktuku', 'habis', 'menang', 'rada', 'asu', 'gamegw', 'anaknya', 'penasaran', 'lagii']",pingin kenal programmer cocok pingin curhat waktu habis menang rada asu gamegw anak penasaran lagi,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9859344363212585}",0.985934436,NEGATIVE
Sun Aug 27 23:51:40 +0000 2023,1.70E+18,frustasi main cocoki level 2,0,0,0,0,in,52958866,1.70E+18,amiajaro,https://twitter.com/amiajaro/status/1695947217725784368,frustasi main cocoki level 2,"['frustasi', 'main', 'cocoki', 'level', '2']","['frustasi', 'main', 'cocoki', 'level', '2']","['frustasi', 'main', 'cocoki', 'level', '2']",frustasi main cocok level 2,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9839850068092346}",0.983985007,NEGATIVE
Sun Aug 27 23:47:27 +0000 2023,1.70E+18,bangke pagi pagi udah enek liat cocoki,0,0,0,0,in,1.23E+18,1.70E+18,kthsoloists,https://twitter.com/kthsoloists/status/1695946158403932334,bangke pagi pagi udah enek liat cocoki,"['bangke', 'pagi', 'pagi', 'udah', 'enek', 'liat', 'cocoki']","['bangke', 'pagi', 'pagi', 'sudah', 'enek', 'liat', 'cocoki']","['bangke', 'enek', 'liat', 'cocoki']",bangke enek liat cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9595668315887451}",0.959566832,NEGATIVE
Sun Aug 27 23:45:59 +0000 2023,1.70E+18,mimpi menang cocoki 4 kali,0,1,0,0,in,1.56E+18,1.70E+18,wanbderer,https://twitter.com/wanbderer/status/1695945787191255418,mimpi menang cocoki 4 kali,"['mimpi', 'menang', 'cocoki', '4', 'kali']","['mimpi', 'menang', 'cocoki', '4', 'kali']","['mimpi', 'menang', 'cocoki', '4', 'kali']",mimpi menang cocok 4 kali,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.7074920535087585}",0.707492054,NETRAL
Sun Aug 27 23:41:37 +0000 2023,1.70E+18,Selamat senin ðŸ«¶ðŸ». Doain hari ini gua menang shopee cocoki ðŸ¤£,0,0,0,0,in,3250705273,1.70E+18,FernandosZz,https://twitter.com/FernandosZz/status/1695944689961316368,selamat senin doain hari ini gua menang shopee cocoki,"['selamat', 'senin', 'doain', 'hari', 'ini', 'gua', 'menang', 'shopee', 'cocoki']","['selamat', 'senin', 'doain', 'hari', 'ini', 'gua', 'menang', 'shopee', 'cocoki']","['selamat', 'senin', 'doain', 'gua', 'menang', 'shopee', 'cocoki']",selamat senin doain gua menang shopee cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9758059978485107}",0.975805998,NETRAL
Sun Aug 27 23:40:07 +0000 2023,1.70E+18,ksiangan gegara main cocoki,0,0,0,0,in,1.51E+18,1.70E+18,rwndangz,https://twitter.com/rwndangz/status/1695944312264282565,ksiangan gegara main cocoki,"['ksiangan', 'gegara', 'main', 'cocoki']","['kesiangan', 'gegara', 'main', 'cocoki']","['kesiangan', 'gegara', 'main', 'cocoki']",siang gegara main cocok,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.7164868712425232}",0.716486871,NEGATIVE
Sun Aug 27 23:39:58 +0000 2023,1.70E+18,fak sopi cocoki eanjg,0,1,0,0,in,1.51E+18,1.70E+18,rwndangz,https://twitter.com/rwndangz/status/1695944275186585696,fak sopi cocoki eanjg,"['fak', 'sopi', 'cocoki', 'eanjg']","['fuck', 'shopee', 'cocoki', 'eanjg']","['fuck', 'shopee', 'cocoki', 'eanjg']",fuck shopee cocok eanjg,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9961766004562378}",0.9961766,NEGATIVE
Sun Aug 27 23:28:37 +0000 2023,1.70E+18,dari jam 3 pagi mainin cocoki. udah keliatan dasar palungnya eh mati lagi mati lagi,0,0,0,0,in,1.07E+18,1.70E+18,kwakkiX,https://twitter.com/kwakkiX/status/1695941417993224647,dari jam 3 pagi mainin cocoki udah keliatan dasar palungnya eh mati lagi mati lagi,"['dari', 'jam', '3', 'pagi', 'mainin', 'cocoki', 'udah', 'keliatan', 'dasar', 'palungnya', 'eh', 'mati', 'lagi', 'mati', 'lagi']","['dari', 'jam', '3', 'pagi', 'mainin', 'cocoki', 'sudah', 'keliatan', 'dasar', 'palungnya', 'eh', 'mati', 'lagi', 'mati', 'lagi']","['jam', '3', 'mainin', 'cocoki', 'keliatan', 'dasar', 'palungnya', 'mati', 'mati']",jam 3 mainin cocok liat dasar palung mati mati,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9878492951393127}",0.987849295,NEGATIVE
Sun Aug 27 23:28:07 +0000 2023,1.70E+18,Decided to give up and just playing Cocoki when I need to claim the free coins! ðŸ˜‚ Capek.,0,0,0,0,en,1.23E+18,1.70E+18,jeongsimjae,https://twitter.com/jeongsimjae/status/1695941290339553362,decided to give up and just playing cocoki when need to claim the free coins capek,"['decided', 'to', 'give', 'up', 'and', 'just', 'playing', 'cocoki', 'when', 'need', 'to', 'claim', 'the', 'free', 'coins', 'capek']","['decided', 'to', 'give', 'up', 'and', 'just', 'playing', 'cocoki', 'when', 'need', 'to', 'claim', 'the', 'free', 'coins', 'capek']","['decided', 'to', 'give', 'up', 'and', 'just', 'playing', 'cocoki', 'when', 'need', 'to', 'claim', 'the', 'free', 'coins', 'capek']",decided to give up and just playing cocok when need to claim the free coins capek,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.994076132774353}",0.994076133,NETRAL
Sun Aug 27 23:23:37 +0000 2023,1.70E+18,"Alhamdulillah hariku cerah, cocoki tembus dipagi hari ðŸ¤© https://t.co/OM5hMceEt4",0,1,0,0,in,1.61E+18,1.70E+18,ryliana_,https://twitter.com/ryliana_/status/1695940159446139162,alhamdulillah hariku cerah cocoki tembus dipagi hari,"['alhamdulillah', 'hariku', 'cerah', 'cocoki', 'tembus', 'dipagi', 'hari']","['alhamdulillah', 'hariku', 'cerah', 'cocoki', 'tembus', 'dipagi', 'hari']","['alhamdulillah', 'hariku', 'cerah', 'cocoki', 'tembus', 'dipagi']",alhamdulillah hari cerah cocok tembus pagi,NEGATIVE,"{'label': 'NEGATIVE', 'score': 0.9812661409378052}",0.981266141,POSITIVE
